INFO     core.jenkins_utils:jenkins_utils.py:210 running cleanup
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "GET /session/acf9f4f28eb6cfa289af1f06861e4501/url HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "GET /session/acf9f4f28eb6cfa289af1f06861e4501/cookie HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:241 Starting new HTTP connection (1): localhost:8080
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:8080 "GET /crumbIssuer/api/json HTTP/1.1" 200 155
DEBUG    core.jenkins_utils:jenkins_utils.py:31 update_crumb: ba1f24460565d676dd4ff451cb90619a8f53eba275518f63372acbdf0d9c2e5b
DEBUG    LoginPage:login_page.py:32 login crumb: ba1f24460565d676dd4ff451cb90619a8f53eba275518f63372acbdf0d9c2e5b
DEBUG    MainPage:ui_element.py:81 Navigating to NewItemPage with click on (('link text', 'New Item'),)
DEBUG    MainPage:ui_element.py:28 waiting for element_to_be_clickable(('link text', 'New Item'),)
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/element HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/execute/sync HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "GET /session/acf9f4f28eb6cfa289af1f06861e4501/element/f.39EA35B7DB6FAC39B6CC039DA80E2C54.d.AE6A08CC3989A23D6E2054F764E8907A.e.47/enabled HTTP/1.1" 200 0
DEBUG    urllib3.connectionpool:connectionpool.py:544 http://localhost:58615 "POST /session/acf9f4f28eb6cfa289af1f06861e4501/element/f.39EA35B7DB6FAC39B6CC039DA80E2C54.d.AE6A08CC3989A23D6E2054F764E8907A.e.47/click HTTP/1.1" 200 0
DEBUG    NewItemPage:base_page.py:22 Waiting for page content to load: http://localhost:8080/view/all/newJob
